 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"262","IRINE YUSIANA ROBA PUTRI, S.Sos. MComn&MediaST ","A-262 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","YOGYAKARTA ","1984-04-04 ","P ","KRISTEN ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","MALUKU UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"263","KAMARUDIN WATUBUN, S.H, M.H. ","A-263 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MUNKAHAR ","1968-02-09 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","PAPUA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"264","JIMMY DEMIANUS IJIE, S.H. ","AA-264 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","FATEGOMI ","1968-03-21 ","L ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","PAPUA BARAT ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:55:55 "
"265","H. M. SALIM FAKHRY, S.E., M.M. ","A-265 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KUTACANE ","1968-10-21 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"266","ILHAM PANGESTU ","A-266 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","ACEH TIMUR ","1979-07-18 ","L ","ISLAM ","SLTA ","Fraksi Partai Golkar ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"267","MEUTYA HAFID ","A-267 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1978-05-03 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"268","LAMHOT SINAGA ","A-268 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LINTONGNIHUTA ","1973-02-08 ","L ","KRISTEN ","SARJANA ","Fraksi Partai Golkar ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"269","DELIA PRATIWI BR. SITEPU, S.H. ","A-269 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BINJAI ","1988-03-30 ","P ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"270","H. AHMAD DOLI KURNIA TANDJUNG ","A-270 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEDAN ","1971-07-26 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Golkar ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"271","Drs. H. DARUL SISKA ","A-271 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PADANG ","1954-02-23 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"272","H. JOHN KENEDY AZIS, S.H ","A-272 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PADANG ","1959-06-06 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"273","Ir. H. ARSYADJULIANDI RACHMAN, M.B.A. ","A-273 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEKANBARU ","1960-07-08 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"274","Ir. H. MOHAMAD IDRIS LAENA, M.H. ","A-274 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","RIAU ","1965-01-12 ","Laki-Laki ","Islam ","Pasca Sarjana ","Fraksi Partai Golkar ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-12 14:36:31 "
"275","H. HASAN BASRI AGUS ","A-275 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DESA SEI ABANG,KAB SAROLANGUN ","1953-12-31 ","Laki-Laki ","","","Fraksi Partai Golkar ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:41:31 "
"276","Hj. SANIATUL LATIVA, S.E., M.M. ","A-276 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1977-06-13 ","Perempuan ","","","Fraksi Partai Golkar ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 15:21:48 "
"277","DRS. H. KAHAR MUZAKIR ","A-277 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MUBA PENGATURAN ","1946-12-10 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"278","TOFAN MAULANA ","AA-278 ","49/P TAHUN 2023, 13 JUNI 2023 ","JAKARTA ","1986-09-04 ","Laki-Laki ","Islam ","Sarjana ","Fraksi Partai Golkar ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-09-08 03:23:28 "
"279","BOBBY ADHITYO RIZALDI, S.E.Ak., M.B.A., CFE ","A-279 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1974-02-25 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"280","MOHAMMAD SALEH, S.E ","A-280 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","REJANG LEBONG ","1966-07-10 ","Laki-Laki ","","","Fraksi Partai Golkar ","BENGKULU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 10:26:03 "
"281","Hi. LODEWIJK F. PAULUS ","A-281 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MANADO ","1957-07-27 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"282","DR. AZIS SYAMSUDDIN ","A-282 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1970-07-31 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Golkar ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"283","Ir. HANAN A. ROZAK, M.S. ","A-283 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDAR LAMPUNG ","1960-12-25 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"284","BAMBANG PATIJAYA, S.E., M.M. ","A-284 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUNGAILIAT ","1977-07-11 ","L ","BUDHA ","PASCA SARJANA ","Fraksi Partai Golkar ","KEPULAUAN BANGKA BELITUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"285","H. ANSAR AHMAD, SE., M.M. ","AA-285 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG PINANG ","1964-04-10 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","KEPULAUAN RIAU ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:48:10 "
"286","CHRISTINA ARYANI, S.E., S.H., M.H ","A-286 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1975-07-17 ","P ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Golkar ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"287","NURUL ARIFIN, M. Si. ","A-287 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1966-07-18 ","Perempuan ","","","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-05 15:08:23 "
"288","Ir.H. ANANG SUSANTO, M.Si. ","A-288 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1959-03-31 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"289","Dr. TB. H. ACE HASAN SYADZILY, M.Si. ","A-289 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PANDEGLANG ","1976-09-19 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"290","Ir. BUDHY SETIAWAN, M.Si. ","A-290 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BOGOR ","1967-03-22 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"291","Hj. DEWI ASMARA, S.H., M.H. ","A-291 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1961-06-29 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"292","ICHSAN FIRDAUS ","A-292 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BEKASI ","1976-04-21 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"293","Dra. WENNY HARYANTO, S.H. ","A-293 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1959-08-06 ","P ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"294","DEDI MULYADI, S.H. ","A-294 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUBANG ","1971-04-12 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"295","PUTERI KOMARUDIN ","A-295 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1993-08-21 ","P ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"296","H. DANIEL MUTAQIEN SYAFUDDIN, S.T. ","AA-296 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","INDRAMAYU ","1981-09-30 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:48:35 "
"297","DAVE AKBARSHAH FIKARNO, M.E. ","A-297 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1979-08-19 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"298","Hj. ITJE SITI DEWI KURAESIN, S.Sos., M.M ","A-298 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARMASIN ","1952-10-20 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"299","Dr. Tr. AGUN GUNANDJAR SUDARSA, Bc.IP., M.Si. ","A-299 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1958-11-13 ","Laki-Laki ","","","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-06-01 04:08:41 "
"300","FERDIANSYAH, S.E., M.M. ","A-300 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1965-08-24 ","Laki-Laki ","","","Fraksi Partai Golkar ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:42:22 "
"301","Dr. H. A. MUJIB ROHMAT, M.H. ","A-301 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1960-11-21 ","Laki-Laki ","Islam ","Doktor ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-23 10:51:41 "
"302","NUSRON WAHID ","A-302 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KUDUS ","1973-10-12 ","L ","ISLAM ","SLTA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"303","H. FIRMAN SOEBAGYO, S.E., M.H. ","A-303 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PATI ","1953-04-02 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"304","ENDANG MARIA ASTUTI, S.Ag., S.H., M.H ","A-304 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","WONOGIRI ","1966-04-16 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"305","H. SINGGIH JANURATMOKO, S.KH., M.M ","A-305 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SLEMAN ","1976-01-07 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"306","Ir. PANGGAH SUSANTO, M.M. ","A-306 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TEMANGGUNG ","1958-10-19 ","Laki-Laki ","","","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:43:02 "
"307","Dr. H. BAMBANG SOESATYO, S.E., S.H., M.B.A. ","A-307 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1962-09-10 ","Laki-Laki ","Islam ","","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-06-06 08:32:56 "
"308","TETI ROHATININGSIH, S.Sos. ","A-308 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CILACAP ","1961-08-15 ","P ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"309","H. DITO GANINDUTO, M.B.A. ","A-309 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","YOGYAKARTA ","1952-11-04 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"310","H. AGUNG WIDYANTORO, S.H., M.Si. ","A-310 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BREBES ","1963-10-12 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"311","DONI AKBAR, S.E. ","A-311 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALEMBANG ","1982-07-09 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"312","Drs. H. M. GANDUNG PARDIMAN, M.M. ","A-312 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANTUL ","1953-02-25 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","DI YOGYAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"313","Ir. H. ADIES KADIR, S.H., M.Hum. ","A-313 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BALIKPAPAN ","1968-10-17 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"314","H. MUKHAMAD MISBAKHUN, S.E., M.H. ","A-314 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PASURUAN ","1970-07-29 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"315","ZULFIKAR ARSE SADIKIN, S.IP., M.Si ","A-315 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","YOGYAKARTA ","1975-10-28 ","Laki-Laki ","","","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:43:30 "
"316","H. MUHAMAD NUR PURNAMASIDI ","A-316 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BEKASI ","1971-09-03 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"317","Ir. H. M. RIDWAN HISJAM ","A-317 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1958-05-26 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"318","M. SARMUJI, S.E., M.Si. ","A-318 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1974-06-10 ","Laki-Laki ","","","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 09:11:17 "
"319","Dr. H. ALI MUFTHI, S.Ag., M.Si. ","AA-319 ","71/P TAHUN 2021, 27 APRIL 2021 ","LAMONGAN ","1970-10-17 ","Laki-Laki ","Islam ","Doktor ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-09-08 03:29:27 "
"320","M. YAHYA ZAINI, S.H. ","A-320 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GRESIK ","1964-04-24 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"321","Dra. Hj. HAENY RELAWATI R.W, M.Si. ","A-321 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TUBAN ","1964-06-20 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"322","DYAH RORO ESTI W.P, B.A., M.Sc. ","A-322 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1993-05-25 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"323","MUHAMMAD ALI RIDHA ","AA-323 ","8/P TAHUN 2020, 16 JANUARI 2020 ","BONDOWOSO ","1971-04-02 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"324","Hj. ADDE ROSI KHOERUNNISA, S.Sos, . M.SI ","A-324 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUMEDANG ","1983-10-30 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"325","H. TUBAGUS HAERUL JAMAN, S.E. ","A-325 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KOTA SERANG ","1968-03-17 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"326","H. ANDI ACHMAD DARA, S.E. ","A-326 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1959-09-26 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"327","GDE SUMARJAYA LINGGIH, S.E, M.A.P. ","A-327 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BULELENG ","1965-10-22 ","L ","HINDU ","PASCA SARJANA ","Fraksi Partai Golkar ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"328","A.A. BAGUS ADHI MAHENDRA PUTRA ","A-328 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BADUNG ","1970-02-14 ","Laki-Laki ","","","Fraksi Partai Golkar ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-05 14:45:06 "
"329","Ir. Hj. SARI YULIATI, M.T. ","A-329 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1976-06-02 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","NUSA TENGGARA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"330","MELCHIAS MARKUS MEKENG ","A-330 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1963-12-08 ","L ","KATOLIK ","SARJANA ","Fraksi Partai Golkar ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"331","EMANUEL MELKIADES LAKA LENA ","A-331 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KUPANG ","1976-12-10 ","L ","KATOLIK ","SARJANA ","Fraksi Partai Golkar ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"332","MAMAN ABDURRAHMAN, S.T. ","A-332 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PONTIANAK ","1980-09-09 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"333","Dr. Drs. ADRIANUS ASIA SIDOT, M.Si. ","A-333 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LANDAK ","1961-02-02 ","L ","KATOLIK ","DOKTOR ","Fraksi Partai Golkar ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"334","Drs. MUKHTARUDIN ","A-334 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PANGKALAN BUN ","1964-09-06 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","KALIMANTAN TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"335","Drs. H. BAMBANG HERI PURNAMA, S.T., S.H., M.H. ","A-335 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MATARAM ","1967-04-25 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","KALIMANTAN SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"336","H. HASNURYADI SULAIMAN, M.A.B. ","A-336 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARMASIN ","1975-06-21 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","KALIMANTAN SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"337","RUDY MAS?UD, S.E. ","A-337 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BALIKPAPAN ","1981-12-07 ","L ","ISLAM ","SARJANA ","Fraksi Partai Golkar ","KALIMANTAN TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"338","Dr. Ir. HETIFAH SJAIFUDIAN, M.P.P. ","A-338 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1964-10-30 ","P ","ISLAM ","DOKTOR ","Fraksi Partai Golkar ","KALIMANTAN TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"339","ADRIAN JOPIE PARUNTU ","A-339 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1994-03-10 ","L ","KRISTEN ","SLTA ","Fraksi Partai Golkar ","SULAWESI UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"340","H. MUHIDIN MOHAMMAD SAID, S.E., M.B.A. ","A-340 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SOPPENG ","1950-10-07 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","SULAWESI TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"341","Drs. HAMKA B. KADY, M.S. ","A-341 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PARE-PARE ","1955-05-10 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"342","H. ANDI RIO IDRIS PADJALANGI, S.H., M.Kn. ","A-342 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAKASSAR ","1973-03-13 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"343","SUPRIANSA, S.H., M.H. ","A-343 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LEWOREN-SOPPENG ","1972-12-31 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Golkar ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
